ID,Name
0,Tree Head
1,Medical
2,Emotional
3,People
4,Environment/Room
5,Basic needs
6,Places
7,Pain
8,Nausea
9,Medication
10,Dizzy
11,Short of breath
12,Information
13,Happy
14,Sad
15,Worried
16,Angry
17,Positive
18,Negative
19,Doctor
20,Nurse
21,Significant Other
22,Family/Friends
23,Chaplain/Priest
24,Therapist
25,Position/Bed
26,Lights
27,Window
28,Temperature
29,Items
30,Room Curtain
31,Hunger
32,Thirst
33,Temperature
34,Position/Bed
35,Pain
36,Physical
37,Work
38,School
39,Home
40,Bank
41,Store
42,Church
43,Level of pain
259,[numerical scale]
260,
261,
262,
263,
264,
44,Location of pain
265,[image of body]
266,
267,
268,
269,
270,
45,Pulsing
271,
272,
273,
274,
275,
276,
46,Constant
277,
278,
279,
280,
281,
282,
47,Sharp
283,
284,
285,
286,
287,
288,
48,Dull
289,
290,
291,
292,
293,
294,
49,Level of nausea
295,[numerical scale]
296,
297,
298,
299,
300,
50,Medication
301,To treat nausea
302,Caused nausea
303,
304,
305,
306,
51,Vomit
307,
308,
309,
310,
311,
312,
52,Food
313,Want more
314,Want less
315,
316,
317,
318,
53,Water
319,Want more
320,Want less
321,Cold
322,Hot
323,IV fluids
324,
54,Stimulus
325,Food
326,Smell
327,Light
328,Noise
329,TV/Radio
330,Motion
55,Pain
331,Want more
332,Want less
333,Location of Pain
334,Pulsing
335,Constant 
336,Sharp
56,Sleep
337,Want more
338,Want less
339,Blanket
340,Pillow
341,lights off
342,close curtain
57,Anxious
343,Want more
344,Want less
345,call family/frineds
346,Lonely
347,
348,
58,Nausea
349,To treat nausea
350,Caused nausea
351,
352,
353,
354,
59,Breathing
355,want more
356,oxygen
357,suction
358,
359,
360,
60,Dose/Side effects
361,Too much
362,Too little
363,Good
364,Bad
365,Unsure
366,
61,Level of dizziness
367,[numerical scale]
368,
369,
370,
371,
372,
62,Medication
373,want more
374,want less
375,want same
376,
377,
378,
63,Sleep
379,Blanket
380,Pillow
381,Lights 
382,TV/Radio/Music 
383,Curtains
384,call bell
64,Lights
385,On
386,Off
387,Too bright
388,Too dim
389,Blinds open
390,Blinds closed
65,Noise
391,Too much
392,Too little
393,TV/Radio/Music off
394,TV/Radio/Music on
395,Alarm
396,Voices
66,Water
397,Want more
398,Want less
399,Cold
400,Hot
401,IV fluids
402,
67,Suction
403,
404,
405,
406,
407,
408,
68,Adjust tube
409,
410,
411,
412,
413,
414,
69,Medication
415,want more
416,want less
417,want same
418,
419,
420,
70,Adjust blanket
421,
422,
423,
424,
425,
426,
71,Pressure
427,Level [numerical scale]
428,Location [image of body]
429,
430,
431,
432,
72,Temperature
433,Hot
434,Cold
435,Humid
436,Dry
437,Blanket
438,Clothes
73,Form
439,Fill in
440,Change
441,Lost
442,Missing
443,Contact info
444,History
74,History
445,Check
446,Forgot
447,Better
448,Worse
449,When
450,Doctor
75,Procedure
451,What
452,When
453,Why
454,Who
455,Where
456,Contact Family/friends
76,Forgot
457,Date/Time
458,Nurse/Doctor
459,Daily doctor update
460,Medication
461,
462,
77,Confused/Worried/Ask/Contact
463,Significant Other
464,Friends
465,Children
466,Parents
467,Boss
468,Workers
78,Coverage
469,Insurance
470,
471,
472,
473,
474,
79,Gratitude
475,Doctor
476,Nurse
477,Family 
478,Friends
479,God
480,other
80,Family/Friend
481,
482,
483,
484,
485,
486,
81,Home/Work
487,Significant Other
488,Family/Friends
489,Pet
490,Boss
491,Coworker
492,Employee/Client
82,Medical/Procedure
493,Better
494,Worse
495,Pain
496,Medication
497,Monitors/Devices
498,Doctor/Family/Friends
83,Memory
499,
500,
501,
502,
503,
504,
84,Pray
505,Quiet
506,Bible
507,Read
508,Google search
509,Music
510,
85,Need reassurance
511,
512,
513,
514,
515,
516,
86,Medical/Procedure
517,Better
518,Worse
519,Pain
520,Medication
521,Monitors/Devices
522,Doctor/Family/Friends
87,Family/Friend
523,
524,
525,
526,
527,
528,
88,Home/Work
529,Significant Other
530,Family/Friends
531,Pet
532,Boss
533,Coworker
534,Employee/Client
89,Diagnosis
535,
536,
537,
538,
539,
540,
90,Pray
541,Quiet
542,Bible
543,Read
544,Google search
545,Music
546,
91,Need reassurance
547,
548,
549,
550,
551,
552,
92,Medical/Procedure
553,Better
554,Worse
555,Pain
556,Medication
557,Monitors/Devices
558,Doctor/Family/Friends
93,Family/Friend
559,
560,
561,
562,
563,
564,
94,Home/Work
565,Significant Other
566,Family/Friends
567,Pet
568,Boss
569,Coworker
570,Employee/Client
95,Diagnosis
571,
572,
573,
574,
575,
576,
96,School
577,
578,
579,
580,
581,
582,
97,Medical/Procedure
583,Better
584,Worse
585,Pain
586,Medication
587,Monitors/Devices
588,Doctor/Family/Friends
98,Home/Work
589,Significant Other
590,Family/Friends
591,Pet
592,Boss
593,Coworker
594,Employee/Client
99,Family/Friend
595,
596,
597,
598,
599,
600,
100,Doctor
601,
602,
603,
604,
605,
606,
101,Nurse
607,
608,
609,
610,
611,
612,
102,Myself
613,
614,
615,
616,
617,
618,
103,Excited
619,[numerical scale]
620,Family/Friend
621,Home/Work
622,Medical/Procedure
623,Doctor/Nurse
624,Chaplian/Therapist
104,Grateful
625,[numerical scale]
626,Family/Friend
627,Home/Work
628,Medical/Procedure
629,Doctor/Nurse
630,Chaplian/Therapist
105,Amused
631,[numerical scale]
632,Family/Friend
633,Home/Work
634,Medical/Procedure
635,Doctor/Nurse
636,Chaplian/Therapist
106,Love
637,[numerical scale]
638,Family/Friend
639,Home/Work
640,Medical/Procedure
641,Doctor/Nurse
642,Chaplian/Therapist
107,Hope
643,[numerical scale]
644,Family/Friend
645,Home/Work
646,Medical/Procedure
647,Doctor/Nurse
648,Chaplian/Therapist
108,Prayer
649,Chaplain/Priest
650,Family/Friend
651,Home/Work
652,Medical/Procedure
653,Doctor/Nurse
654,Bible/Religious book
109,Fear
655,[numerical scale]
656,Family/Friend
657,Home/Work
658,Medical/Procedure
659,Doctor/Nurse
660,Chaplian/Therapist
110,Frustrated
661,[numerical scale]
662,Family/Friend
663,Home/Work
664,Medical/Procedure
665,Doctor/Nurse
666,Chaplian/Therapist
111,Confused
667,[numerical scale]
668,Family/Friend
669,Home/Work
670,Medical/Procedure
671,Doctor/Nurse
672,Chaplian/Therapist
112,Anxious
673,[numerical scale]
674,Family/Friend
675,Home/Work
676,Medical/Procedure
677,Doctor/Nurse
678,Chaplian/Therapist
113,Stressed
679,[numerical scale]
680,Family/Friend
681,Home/Work
682,Medical/Procedure
683,Doctor/Nurse
684,Chaplian/Therapist
114,Lonely
685,[numerical scale]
686,Family/Friend
687,Home/Work
688,Medical/Procedure
689,Doctor/Nurse
690,Chaplian/Therapist
115,Help...
691,
692,
693,
694,
695,
696,
116,Tell...
697,
698,
699,
700,
701,
702,
117,Thank...
703,
704,
705,
706,
707,
708,
118,Where...
709,
710,
711,
712,
713,
714,
119,When...
715,
716,
717,
718,
719,
720,
120,What...
721,Procedure
722,Diagnosis
723,
724,
725,
726,
121,Help...
727,
728,
729,
730,
731,
732,
122,Tell...
733,
734,
735,
736,
737,
738,
123,Thank...
739,
740,
741,
742,
743,
744,
124,Medication
745,
746,
747,
748,
749,
750,
125,Position/Physical
751,
752,
753,
754,
755,
756,
126,Environment/Room
757,
758,
759,
760,
761,
762,
127,Want
763,
764,
765,
766,
767,
